code,title,keywords
A09,"Infectious gastroenteritis and colitis, unspecified",diarrhea gastroenteritis
A90,Dengue fever [classical dengue],dengue
A91,Dengue haemorrhagic fever,dengue
B08.4,Enteroviral vesicular stomatitis with exanthem,hand foot mouth HFMD
B30.9,"Viral conjunctivitis, unspecified",conjunctivitis
B35.4,Tinea corporis,tinea ringworm
F41.9,"Anxiety disorder, unspecified",anxiety
G43.9,"Migraine, unspecified",migraine
G47.0,Disorders of initiating and maintaining sleep [insomnias],insomnia
H10.9,"Conjunctivitis, unspecified",conjunctivitis
H60.9,"Otitis externa, unspecified",otitis
H66.9,"Otitis media, unspecified",otitis
J00,Acute nasopharyngitis [common cold],cold URI
J01.9,"Acute sinusitis, unspecified",sinusitis
J02.9,"Acute pharyngitis, unspecified",pharyngitis sore throat
J03.9,"Acute tonsillitis, unspecified",tonsillitis
J06.9,"Acute upper respiratory infection, unspecified",URI cold
J11.1,"Influenza with other respiratory manifestations, virus not identified",influenza ILI
J30.9,"Allergic rhinitis, unspecified",allergic rhinitis
K29.7,"Gastritis, unspecified",gastritis
K30,Functional dyspepsia,dyspepsia
K52.9,"Noninfective gastroenteritis and colitis, unspecified",diarrhea
K59.0,Constipation,constipation
L02.9,"Cutaneous abscess, furuncle and carbuncle, unspecified",abscess
L03.9,"Cellulitis, unspecified",cellulitis
L30.9,"Dermatitis, unspecified",dermatitis rash
L50.9,"Urticaria, unspecified",urticaria
M54.2,Cervicalgia,neck pain
M54.5,Low back pain,back pain
M79.1,Myalgia,myalgia muscle pain
N39.0,"Urinary tract infection, site not specified",UTI
R05,Cough,cough
R10.9,Unspecified abdominal pain,abdominal pain
R11,Nausea and vomiting,nausea vomiting
R21,Rash and other nonspecific skin eruption,rash
R42,Dizziness and giddiness,dizziness
R50.9,"Fever, unspecified",fever
R51,Headache,headache
R55,Syncope and collapse,syncope
R30.0,Dysuria,dysuria
U07.1,"COVID-19, virus identified",COVID
